title,address,access,age,floor,fee,management_fee,deposit,gratuity,floor_plan,area
京王線 調布駅 2階建 築13年,東京都調布市布田５,"
京王線/調布駅 歩15分
京王相模原線/京王多摩川駅 歩16分
京王線/布田駅 歩14分
","
築13年
2階建
","
											2階",7.6万円,5000円,-,7.6万円,1K,26.49m2
レオネクストフエキII,東京都調布市布田５,"
京王線/調布駅 歩15分
京王相模原線/京王多摩川駅 歩16分

","
築13年
2階建
","
											2階",7.6万円,5000円,-,7.6万円,1K,26.49m2
調布栄マンション,東京都調布市下石原３,"
京王線/調布駅 歩12分
京王相模原線/京王多摩川駅 歩12分
京王線/西調布駅 歩10分
","
築38年
3階建
","
											3階",7万円,-,3.5万円,-,1DK,31m2
レオパレス英,東京都調布市多摩川３,"
京王相模原線/京王多摩川駅 歩12分
ＪＲ南武線/矢野口駅 歩15分

","
築15年
2階建
","
											2階",7.1万円,5000円,-,7.1万円,ワンルーム,30.43m2
京王線 仙川駅 4階建 築31年,東京都調布市仙川町２,"
京王線/仙川駅 歩8分
京王線/つつじヶ丘駅 歩13分
京王線/柴崎駅 歩23分
","
築31年
4階建
","
											1階",5.4万円,3000円,-,-,ワンルーム,19.04m2
京王線 仙川駅 4階建 築31年,東京都調布市仙川町２,"
京王線/仙川駅 歩8分
京王線/つつじヶ丘駅 歩13分
京王線/柴崎駅 歩23分
","
築31年
4階建
","
											2階",5.9万円,3000円,-,-,ワンルーム,19.04m2
京王線 飛田給駅 2階建 築21年,東京都調布市飛田給３,"
京王線/飛田給駅 歩12分
京王線/西調布駅 歩16分
西武多摩川線/白糸台駅 歩27分
","
築21年
2階建
","
											2階",5.1万円,5000円,-,-,1K,19.87m2
インペリアル京王多摩川フラット,東京都調布市多摩川５,"
京王相模原線/京王多摩川駅 歩3分
京王線/調布駅 歩14分
京王線/布田駅 歩23分
","
築39年
10階建
","
											8階",5.8万円,-,5.8万円,5.8万円,1K,18m2
昭花園ビル,東京都調布市多摩川５,"
京王相模原線/京王多摩川駅 歩2分
京王相模原線/調布駅 歩18分

","
築33年
4階建
","
											2階",4.7万円,5000円,-,-,1K,22.87m2
昭花園ビル,東京都調布市多摩川５,"
京王相模原線/京王多摩川駅 歩2分
京王相模原線/調布駅 歩18分

","
築33年
4階建
","
											4階",5.9万円,4000円,-,-,1DK,36.44m2
N・Yコート,東京都調布市菊野台２,"
京王線/柴崎駅 歩7分
京王線/国領駅 歩12分
小田急線/狛江駅 バス17分 (バス停)国領八丁目 歩9分
","
築32年
2階建
","
											1階",4.2万円,2000円,-,-,1K,17.39m2
N・Yコート,東京都調布市菊野台２,"
京王線/柴崎駅 歩7分
京王線/国領駅 歩12分
小田急線/狛江駅 バス17分 (バス停)国領八丁目 歩9分
","
築32年
2階建
","
											2階",4.4万円,2000円,-,-,1K,17.39m2
京王線 西調布駅 2階建 築24年,東京都調布市富士見町３,"
京王線/西調布駅 歩15分
京王線/調布駅 歩18分
京王線/飛田給駅 歩15分
","
築24年
2階建
","
											1階",5.9万円,1000円,5.9万円,5.9万円,1K,21.2m2
京王線 西調布駅 2階建 築24年,東京都調布市富士見町３,"
京王線/西調布駅 歩15分
京王線/調布駅 歩18分
京王線/飛田給駅 歩15分
","
築24年
2階建
","
											1階",5.9万円,1000円,5.9万円,5.9万円,1K,21.2m2
ＪＲ総武線 吉祥寺駅 3階建 築51年,東京都調布市深大寺東町７,"
ＪＲ総武線/吉祥寺駅 バス20分 (バス停)消防大学前 歩1分
京王線/調布駅 バス17分 (バス停)北の台 歩1分

","
築51年
3階建
","
											1階",8.8万円,2000円,8.8万円,-,2LDK,44.28m2
ＪＲ総武線 吉祥寺駅 3階建 築51年,東京都調布市深大寺東町７,"
ＪＲ総武線/吉祥寺駅 バス20分 (バス停)消防大学前 歩1分
京王線/調布駅 バス17分 (バス停)北の台 歩1分

","
築51年
3階建
","
											1階",8.8万円,2000円,8.8万円,-,2LDK,44.28m2
京王線 調布駅 2階建 築17年,東京都調布市布田５,"
京王線/調布駅 歩15分


","
築17年
2階建
","
											2階",6.9万円,5000円,-,6.9万円,1K,21.4m2
レオパレスフエキ,東京都調布市布田５,"
京王線/調布駅 歩15分
京王相模原線/京王多摩川駅 歩15分

","
築17年
2階建
","
											2階",6.9万円,5000円,-,6.9万円,1K,21.4m2
第一秀恵レジデンス,東京都調布市深大寺東町３,"
京王線/調布駅 バス13分 (バス停)晃華学園東 歩1分
京王線/つつじヶ丘駅 バス7分 (バス停)晃華学園東 歩2分
京王線/柴崎駅 歩20分
","
築37年
3階建
","
											1階",12.4万円,5000円,12.4万円,-,3DK,64.55m2
エスポワ－ル青木,東京都調布市柴崎１,"
京王線/柴崎駅 歩11分
京王線/国領駅 歩15分
京王線/つつじヶ丘駅 歩18分
","
築22年
2階建
","
											1階",5.5万円,-,5.5万円,-,ワンルーム,18.9m2
ボルベール調布ヶ丘,東京都調布市調布ケ丘４,"
京王線/調布駅 歩17分
京王線/西調布駅 歩25分
京王線/国領駅 歩23分
","
築14年
2階建
","
											2階",7.2万円,3000円,-,7.2万円,1K,31.07m2
京王線 つつじヶ丘駅 2階建 築32年,東京都調布市西つつじケ丘２,"
京王線/つつじヶ丘駅 歩4分


","
築32年
2階建
","
											1階",4.5万円,2000円,-,-,ワンルーム,17.39m2
レオパレスアームス,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩12分


","
築27年
2階建
","
											1階",5.1万円,5000円,-,5.1万円,1K,18.66m2
レオパレスアームス,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩12分


","
築27年
2階建
","
											1階",5.1万円,5000円,-,5.1万円,1K,18.66m2
小沼ハイツ,東京都調布市緑ケ丘２,"
京王線/仙川駅 歩9分
京王線/つつじヶ丘駅 歩19分

","
築35年
3階建
","
											3階",5.5万円,-,5.5万円,5.5万円,ワンルーム,16.51m2
プチメゾンK,東京都調布市国領町５,"
京王線/布田駅 歩2分
京王線/国領駅 歩11分
京王相模原線/調布駅 歩11分
","
築36年
2階建
","
											2階",4.5万円,-,-,-,ワンルーム,17.78m2
プチメゾンK,東京都調布市国領町５,"
京王線/布田駅 歩2分
京王線/国領駅 歩11分
京王相模原線/調布駅 歩11分
","
築36年
2階建
","
											2階",4.8万円,-,-,-,ワンルーム,17.78m2
プチメゾンK,東京都調布市国領町５,"
京王線/布田駅 歩2分
京王線/国領駅 歩11分
京王相模原線/調布駅 歩11分
","
築36年
2階建
","
											1階",4.9万円,-,-,-,ワンルーム,17.78m2
プチメゾンK,東京都調布市国領町５,"
京王線/布田駅 歩2分
京王線/国領駅 歩11分
京王相模原線/調布駅 歩11分
","
築36年
2階建
","
											2階",5万円,-,-,-,ワンルーム,17.78m2
プチメゾンK,東京都調布市国領町５,"
京王線/布田駅 歩2分
京王線/国領駅 歩11分
京王相模原線/調布駅 歩11分
","
築36年
2階建
","
											2階",5万円,-,-,-,ワンルーム,17.78m2
プチメゾンK,東京都調布市国領町５,"
京王線/布田駅 歩2分
京王線/国領駅 歩11分
京王相模原線/調布駅 歩11分
","
築36年
2階建
","
											2階",5万円,-,5万円,-,ワンルーム,17.78m2
Ｔ鐚？ハイム,東京都調布市国領町７,"
京王線/国領駅 歩10分
京王線/調布駅 歩27分
小田急線/狛江駅 歩27分
","
築32年
2階建
","
											1階",4.9万円,1000円,-,-,1K,18.23m2
Ｔ鐚？ハイム,東京都調布市国領町７,"
京王線/国領駅 歩10分
京王線/調布駅 歩27分
小田急線/狛江駅 歩27分
","
築32年
2階建
","
											1階",5万円,1000円,-,-,1K,19.83m2
京王線 つつじヶ丘駅 5階建 築32年,東京都調布市若葉町３,"
京王線/つつじヶ丘駅 歩17分
京王線/仙川駅 歩18分
小田急線/成城学園前駅 バス16分 (バス停)稲荷前 歩2分
","
築32年
5階建
","
											2階",7.4万円,8000円,-,-,1K,26.52m2
京王線 つつじヶ丘駅 5階建 築32年,東京都調布市若葉町３,"
京王線/つつじヶ丘駅 歩17分
京王線/仙川駅 歩18分
小田急線/成城学園前駅 バス16分 (バス停)稲荷前 歩2分
","
築32年
5階建
","
											3階",7.5万円,8000円,-,-,1K,26.52m2
京王線 つつじヶ丘駅 5階建 築32年,東京都調布市若葉町３,"
京王線/つつじヶ丘駅 歩17分
京王線/仙川駅 歩18分
小田急線/成城学園前駅 バス16分 (バス停)稲荷前 歩2分
","
築32年
5階建
","
											4階",7.5万円,8000円,-,-,1K,24.3m2
京王線 つつじヶ丘駅 5階建 築32年,東京都調布市若葉町３,"
京王線/つつじヶ丘駅 歩17分
京王線/仙川駅 歩18分
小田急線/成城学園前駅 バス16分 (バス停)稲荷前 歩2分
","
築32年
5階建
","
											3階",7.5万円,8000円,-,-,1K,24.3m2
京王線 つつじヶ丘駅 5階建 築32年,東京都調布市若葉町３,"
京王線/つつじヶ丘駅 歩17分
京王線/仙川駅 歩18分
小田急線/成城学園前駅 バス16分 (バス停)稲荷前 歩2分
","
築32年
5階建
","
											4階",7.5万円,8000円,-,-,1K,24.3m2
京王線 つつじヶ丘駅 5階建 築32年,東京都調布市若葉町３,"
京王線/つつじヶ丘駅 歩17分
京王線/仙川駅 歩18分
小田急線/成城学園前駅 バス16分 (バス停)稲荷前 歩2分
","
築32年
5階建
","
											5階",7.6万円,8000円,-,-,1K,24.3m2
京王線 つつじヶ丘駅 5階建 築32年,東京都調布市若葉町３,"
京王線/つつじヶ丘駅 歩17分
京王線/仙川駅 歩18分
小田急線/成城学園前駅 バス16分 (バス停)稲荷前 歩2分
","
築32年
5階建
","
											5階",7.6万円,8000円,-,-,1K,24.3m2
京王線 つつじヶ丘駅 5階建 築32年,東京都調布市若葉町３,"
京王線/つつじヶ丘駅 歩17分
京王線/仙川駅 歩18分
小田急線/成城学園前駅 バス16分 (バス停)稲荷前 歩2分
","
築32年
5階建
","
											5階",7.6万円,8000円,-,-,1K,24.3m2
京王線 つつじヶ丘駅 5階建 築32年,東京都調布市若葉町３,"
京王線/つつじヶ丘駅 歩17分
京王線/仙川駅 歩18分
小田急線/成城学園前駅 バス16分 (バス停)稲荷前 歩2分
","
築32年
5階建
","
											5階",7.6万円,8000円,-,-,1K,24.3m2
パル調布,東京都調布市富士見町２,"
京王線/調布駅 歩10分
京王線/西調布駅 歩13分
京王相模原線/京王多摩川駅 歩20分
","
築33年
2階建
","
											1階",5万円,2000円,-,-,1K,17.5m2
グリーンハイム小林,東京都調布市若葉町１,"
京王線/つつじヶ丘駅 歩8分
京王線/仙川駅 歩10分
京王線/柴崎駅 歩19分
","
築36年
2階建
","
											2階",5万円,-,5万円,-,ワンルーム,16.28m2
ペアシティ布田,東京都調布市布田５,"
京王線/調布駅 歩11分
京王相模原線/京王多摩川駅 歩13分
京王線/布田駅 歩13分
","
築34年
2階建
","
											2階",5.2万円,2000円,5.2万円,5.2万円,1K,21.3m2
ペアシティ布田,東京都調布市布田５,"
京王線/調布駅 歩11分
京王相模原線/京王多摩川駅 歩13分
京王線/布田駅 歩13分
","
築34年
2階建
","
											2階",5.2万円,3000円,5.2万円,5.2万円,ワンルーム,19.36m2
レオパレス緑ヶ丘,東京都調布市緑ケ丘１,"
京王線/仙川駅 歩16分


","
築19年
2階建
","
											2階",6.4万円,5000円,-,6.4万円,1K,19.87m2
玉川コーポ,東京都調布市上石原１,"
京王線/西調布駅 歩2分
京王線/飛田給駅 歩12分
京王線/調布駅 歩20分
","
築32年
2階建
","
											2階",4.5万円,1000円,4.5万円,-,ワンルーム,14.85m2
京王線 西調布駅 2階建 築32年,東京都調布市上石原１,"
京王線/西調布駅 歩2分
京王線/飛田給駅 歩12分
京王線/調布駅 歩20分
","
築32年
2階建
","
											2階",4.5万円,1000円,4.5万円,-,ワンルーム,14.85m2
コーポグリーンロード,東京都調布市多摩川７,"
京王相模原線/京王多摩川駅 歩4分
京王線/調布駅 歩16分
京王線/布田駅 歩23分
","
築47年
2階建
","
											1階",7万円,3000円,-,-,2K,28m2
ティーユーハイム,東京都調布市飛田給２,"
京王線/飛田給駅 歩8分
京王線/西調布駅 歩10分
京王線/武蔵野台駅 歩22分
","
築36年
2階建
","
											2階",4.3万円,2000円,4.3万円,-,1K,17.3m2
ティーユーハイム,東京都調布市飛田給２,"
京王線/飛田給駅 歩8分
京王線/西調布駅 歩10分
京王線/武蔵野台駅 歩22分
","
築36年
2階建
","
											2階",4.4万円,2000円,4.4万円,-,1K,17.3m2
ティーユーハイム,東京都調布市飛田給２,"
京王線/飛田給駅 歩8分
京王線/西調布駅 歩10分
京王線/武蔵野台駅 歩22分
","
築36年
2階建
","
											2階",4.6万円,2000円,4.6万円,4.6万円,1K,17.35m2
京王線 仙川駅 2階建 築43年,東京都調布市若葉町２,"
京王線/仙川駅 歩9分
京王線/つつじヶ丘駅 歩20分
京王線/千歳烏山駅 歩24分
","
築43年
2階建
","
											2階",7.1万円,3000円,-,-,ワンルーム,23.66m2
京王線 仙川駅 2階建 築43年,東京都調布市若葉町２,"
京王線/仙川駅 歩9分
京王線/つつじヶ丘駅 歩20分
京王線/千歳烏山駅 歩24分
","
築43年
2階建
","
											2階",7.1万円,3000円,-,-,1K,23.18m2
エルマーノカーサナガタニ,東京都調布市調布ケ丘２,"
京王線/調布駅 歩8分
京王線/布田駅 歩12分
京王線/国領駅 歩17分
","
築38年
2階建
","
											1階",4.5万円,1000円,-,-,1K,19.5m2
京王線 調布駅 2階建 築38年,東京都調布市調布ケ丘２,"
京王線/調布駅 歩11分
京王線/布田駅 歩11分
京王線/国領駅 歩17分
","
築38年
2階建
","
											1階",4.5万円,1000円,-,-,1K,19.5m2
パストラーレ,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩4分
京王線/柴崎駅 歩9分
小田急線/狛江駅 バス16分 (バス停)つつじヶ丘駅南口 歩4分
","
築46年
4階建
","
											2階",5.1万円,2000円,5.1万円,-,ワンルーム,15.7m2
b’CASA京王多摩川re-born,東京都調布市多摩川３,"
京王相模原線/京王多摩川駅 歩11分
ＪＲ南武線/矢野口駅 歩12分
京王線/西調布駅 歩21分
","
築23年
3階建
","
											3階",3.3万円,3000円,-,-,ワンルーム,11.61m2
第２ムサシノコーポ,東京都調布市深大寺元町２,"
京王線/調布駅 歩19分

ＪＲ中央線/吉祥寺駅 バス32分 (バス停)深大寺 歩5分
","
築26年
2階建
","
											2階",6.4万円,-,6.4万円,6.4万円,1DK,33.92m2
第２ムサシノコーポ,東京都調布市深大寺元町２,"
京王線/調布駅 歩19分

ＪＲ中央線/吉祥寺駅 バス32分 (バス停)深大寺 歩5分
","
築26年
2階建
","
											2階",6.4万円,2000円,6.4万円,6.4万円,1DK,33.92m2
ランドフォレスト調布,東京都調布市多摩川５,"
京王相模原線/京王多摩川駅 歩2分
京王線/調布駅 歩17分
ＪＲ南武線/矢野口駅 歩22分
","
築34年
2階建
","
											2階",2.9万円,3000円,-,-,ワンルーム,12m2
トマトビル,東京都調布市柴崎２,"
京王線/つつじヶ丘駅 歩12分
京王線/柴崎駅 歩13分
京王線/調布駅 バス20分 (バス停)柴崎二丁目 歩2分
","
築31年
4階建
","
											2階",4.5万円,-,-,-,ワンルーム,17m2
トマトビル,東京都調布市柴崎２,"
京王線/つつじヶ丘駅 歩12分
京王線/柴崎駅 歩13分
京王線/調布駅 バス20分 (バス停)柴崎二丁目 歩2分
","
築31年
4階建
","
											3階",4.5万円,-,-,-,ワンルーム,15m2
京王線 国領駅 2階建 築6年,東京都調布市染地３,"
京王線/国領駅 歩18分
京王線/布田駅 歩20分
京王線/調布駅 バス13分 (バス停)桜提通り 歩2分
","
築6年
2階建
","
											1階",5.7万円,3000円,11.4万円,5.7万円,1K,24.95m2
京王線 調布駅 2階建 築36年,東京都調布市国領町５,"
京王線/調布駅 歩9分
京王線/布田駅 歩1分
京王線/国領駅 歩10分
","
築36年
2階建
","
											2階",4.5万円,-,4.5万円,-,1K,17.78m2
京王線 調布駅 2階建 築36年,東京都調布市国領町５,"
京王線/調布駅 歩9分
京王線/布田駅 歩1分
京王線/国領駅 歩10分
","
築36年
2階建
","
											1階",4.9万円,-,4.9万円,-,1K,17.78m2
京王線 調布駅 2階建 築36年,東京都調布市国領町５,"
京王線/調布駅 歩9分
京王線/布田駅 歩1分
京王線/国領駅 歩10分
","
築36年
2階建
","
											2階",5万円,-,-,-,ワンルーム,17.78m2
グリーンピアＢ,東京都調布市深大寺北町２,"
京王線/柴崎駅 歩39分


","
築37年
2階建
","
											2階",7.2万円,1000円,7.2万円,-,2DK,40.92m2
京王線 柴崎駅 2階建 築37年,東京都調布市深大寺北町２,"
京王線/柴崎駅 歩39分


","
築37年
2階建
","
											2階",7.2万円,1000円,7.2万円,-,2DK,40.92m2
ベルトピア調布Ｂ棟,東京都調布市多摩川２,"
京王相模原線/京王多摩川駅 歩12分
京王線/西調布駅 歩15分
ＪＲ南武線/矢野口駅 歩10分
","
築35年
4階建
","
											3階",4.5万円,5000円,4.5万円,-,1K,16.2m2
ベルトピア調布Ｂ棟,東京都調布市多摩川２,"
京王相模原線/京王多摩川駅 歩12分
京王線/西調布駅 歩15分
ＪＲ南武線/矢野口駅 歩10分
","
築35年
4階建
","
											3階",4.8万円,5000円,-,-,1K,16.2m2
国領アパートメント,東京都調布市国領町７,"
京王線/国領駅 歩10分
京王線/調布駅 歩27分
京王線/柴崎駅 歩18分
","
築37年
2階建
","
											1階",4.5万円,3000円,-,-,ワンルーム,17.01m2
国領アパートメント,東京都調布市国領町７,"
京王線/国領駅 歩10分
京王線/調布駅 歩27分
京王線/柴崎駅 歩18分
","
築37年
2階建
","
											2階",4.7万円,3000円,-,-,ワンルーム,15.88m2
国領アパートメント,東京都調布市国領町７,"
京王線/国領駅 歩10分
京王線/調布駅 歩27分
京王線/柴崎駅 歩18分
","
築37年
2階建
","
											1階",5.5万円,3000円,-,-,ワンルーム,17.01m2
京王線 調布駅 2階建 築20年,東京都調布市深大寺元町４,"
京王線/調布駅 バス15分 (バス停)神代植物公園前 歩2分
ＪＲ中央線/三鷹駅 バス20分 (バス停)神代植物公園 歩2分
ＪＲ中央線/武蔵境駅 バス20分 (バス停)神代植物公園 歩2分
","
築20年
2階建
","
											2階",6.3万円,2200円,-,-,1K,35.64m2
LUCE,東京都調布市染地１,"
京王線/布田駅 歩14分
京王線/調布駅 歩22分

","
築7年
2階建
","
											1階",5.8万円,2000円,-,-,ワンルーム,15.62m2
LUCE,東京都調布市染地１,"
京王線/布田駅 歩14分
京王線/調布駅 歩22分

","
築7年
2階建
","
											1階",5.8万円,3000円,-,-,ワンルーム,15.62m2
レオパレスグリーン,東京都調布市深大寺南町５,"
京王線/つつじヶ丘駅 歩29分
京王線/つつじヶ丘駅 バス11分 (バス停)深大寺東町１丁目 歩3分

","
築18年
2階建
","
											2階",6.2万円,5000円,-,6.2万円,1K,23.18m2
グリーンリーフ,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩12分
京王線/柴崎駅 歩13分
京王線/国領駅 歩22分
","
築37年
3階建
","
											3階",5万円,-,-,-,ワンルーム,18m2
グリーンリーフ,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩12分
京王線/柴崎駅 歩13分
京王線/国領駅 歩22分
","
築37年
3階建
","
											2階",5万円,-,-,-,ワンルーム,18m2
グリーンリーフ,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩12分
京王線/柴崎駅 歩13分
京王線/国領駅 歩22分
","
築37年
3階建
","
											2階",5万円,-,-,-,ワンルーム,16m2
グリーンリーフ,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩12分
京王線/柴崎駅 歩13分
京王線/国領駅 歩22分
","
築37年
3階建
","
											2階",5万円,1000円,-,-,ワンルーム,16m2
Y3ハウス,東京都調布市佐須町３,"
京王線/国領駅 歩10分
京王線/布田駅 歩12分
京王線/調布駅 歩17分
","
築37年
2階建
","
											1階",4.9万円,-,4.9万円,-,ワンルーム,18m2
Y3ハウス,東京都調布市佐須町３,"
京王線/国領駅 歩10分
京王線/布田駅 歩12分
京王線/調布駅 歩17分
","
築37年
2階建
","
											2階",4.9万円,-,4.9万円,-,ワンルーム,18m2
Y3ハウス,東京都調布市佐須町３,"
京王線/国領駅 歩10分
京王線/布田駅 歩12分
京王線/調布駅 歩17分
","
築37年
2階建
","
											1階",4.9万円,1000円,-,-,ワンルーム,18m2
Y3ハウス,東京都調布市佐須町３,"
京王線/国領駅 歩10分
京王線/布田駅 歩12分
京王線/調布駅 歩17分
","
築37年
2階建
","
											1階",4.9万円,1000円,-,-,ワンルーム,18m2
ハイムピア21,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩11分
京王線/柴崎駅 歩10分
京王線/国領駅 歩19分
","
築35年
4階建
","
											1階",4.2万円,3000円,-,-,1K,15m2
ハイムピア21,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩11分
京王線/柴崎駅 歩10分
京王線/国領駅 歩19分
","
築35年
4階建
","
											4階",5.2万円,3000円,-,-,ワンルーム,15m2
クルーブ成城,東京都調布市入間町１,"
京王線/仙川駅 歩19分
小田急線/成城学園前駅 歩20分
京王線/つつじヶ丘駅 歩25分
","
築32年
3階建
","
											2階",6.7万円,-,6.7万円,-,1K,26.6m2
竹ハイム,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩13分
京王線/柴崎駅 歩14分
京王線/国領駅 歩24分
","
築36年
3階建
","
											3階",5万円,-,-,-,ワンルーム,14.77m2
竹ハイム,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩13分
京王線/柴崎駅 歩14分
京王線/国領駅 歩24分
","
築36年
3階建
","
											3階",5万円,-,-,-,ワンルーム,14.77m2
レオパレスリバーサイド染地,東京都調布市染地３,"
京王線/国領駅 歩23分
小田急線/狛江駅 歩25分
京王線/調布駅 バス15分 (バス停)染地通り 歩2分
","
築30年
2階建
","
											1階",5万円,5000円,-,5万円,1K,19.05m2
レオパレスリバーサイド染地,東京都調布市染地３,"
京王線/国領駅 歩23分
小田急線/狛江駅 歩25分
京王線/調布駅 バス15分 (バス停)染地通り 歩2分
","
築30年
2階建
","
											2階",5.4万円,5000円,-,5.4万円,ワンルーム,19.05m2
レオパレスリバーサイド染地,東京都調布市染地３,"
京王線/国領駅 歩23分
小田急線/狛江駅 歩25分
京王線/調布駅 バス15分 (バス停)染地通り 歩2分
","
築30年
2階建
","
											2階",5.4万円,5000円,-,5.4万円,1K,19.05m2
レオパレスリバーサイド染地,東京都調布市染地３,"
京王線/国領駅 歩23分
小田急線/狛江駅 歩25分
京王線/調布駅 バス15分 (バス停)染地通り 歩2分
","
築30年
2階建
","
											2階",5.4万円,5000円,-,5.4万円,1K,19.05m2
京王線 国領駅 2階建 築30年,東京都調布市染地３,"
京王線/国領駅 歩23分
京王線/布田駅 歩25分
小田急線/狛江駅 歩26分
","
築30年
2階建
","
											2階",5万円,5000円,-,5万円,1K,19.05m2
京王線 国領駅 2階建 築30年,東京都調布市染地３,"
京王線/国領駅 歩23分
京王線/布田駅 歩25分
小田急線/狛江駅 歩26分
","
築30年
2階建
","
											2階",5.4万円,5000円,-,5.4万円,1K,19.05m2
京王線 国領駅 2階建 築30年,東京都調布市染地３,"
京王線/国領駅 歩23分
京王線/布田駅 歩25分
小田急線/狛江駅 歩26分
","
築30年
2階建
","
											2階",5.4万円,5000円,-,5.4万円,1K,19.05m2
京王線 国領駅 2階建 築30年,東京都調布市染地３,"
京王線/国領駅 歩23分
京王線/布田駅 歩25分
小田急線/狛江駅 歩26分
","
築30年
2階建
","
											2階",5.4万円,5000円,-,5.4万円,1K,19.05m2
京王線 つつじヶ丘駅 2階建 築44年,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩12分
京王線/柴崎駅 歩13分
京王線/国領駅 歩22分
","
築44年
2階建
","
											1階",6.2万円,-,6.2万円,-,1DK,27.5m2
京王線 つつじヶ丘駅 2階建 築44年,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩12分
京王線/柴崎駅 歩13分
京王線/国領駅 歩22分
","
築44年
2階建
","
											2階",6.2万円,-,6.2万円,6.2万円,1DK,27.5m2
京王線 つつじヶ丘駅 2階建 築44年,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩12分
京王線/柴崎駅 歩13分
京王線/国領駅 歩22分
","
築44年
2階建
","
											2階",6.3万円,-,6.3万円,-,1DK,27.5m2
京王線 つつじヶ丘駅 2階建 築44年,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩12分
京王線/柴崎駅 歩13分
京王線/国領駅 歩22分
","
築44年
2階建
","
											2階",6.3万円,-,6.3万円,6.3万円,1DK,27.5m2
京王線 つつじヶ丘駅 2階建 築44年,東京都調布市西つつじケ丘１,"
京王線/つつじヶ丘駅 歩12分
京王線/柴崎駅 歩13分
京王線/国領駅 歩22分
","
築44年
2階建
","
											2階",6.3万円,-,6.3万円,-,1DK,27.5m2
飯野アパート,東京都調布市富士見町２,"
京王線/西調布駅 歩20分
京王線/調布駅 歩19分

","
築22年
2階建
","
											2階",5万円,1000円,5万円,-,ワンルーム,16.7m2
京王線 柴崎駅 5階建 築29年,東京都調布市菊野台１,"
京王線/柴崎駅 歩4分
京王線/つつじヶ丘駅 歩10分
京王線/国領駅 歩18分
","
築29年
5階建
","
											1階",15.5万円,10000円,15.5万円,15.5万円,4LDK,101.63m2
京王線 柴崎駅 5階建 築29年,東京都調布市菊野台１,"
京王線/柴崎駅 歩4分
京王線/つつじヶ丘駅 歩10分
京王線/国領駅 歩18分
","
築29年
5階建
","
											1階",15.5万円,10000円,15.5万円,15.5万円,4LDK,84.17m2
京王線 柴崎駅 5階建 築29年,東京都調布市菊野台１,"
京王線/柴崎駅 歩4分
京王線/つつじヶ丘駅 歩10分
京王線/国領駅 歩18分
","
築29年
5階建
","
											1階",17.5万円,10000円,17.5万円,17.5万円,4LDK,104.07m2
モアクレスト菊野台,東京都調布市菊野台２,"
京王線/柴崎駅 歩8分
京王線/国領駅 歩12分
京王線/つつじヶ丘駅 歩15分
","
築31年
5階建
","
											5階",8.3万円,8000円,8.3万円,-,2DK,41.59m2
ロイヤルパレス,東京都調布市菊野台１,"
京王線/つつじヶ丘駅 歩8分
京王線/柴崎駅 歩4分
京王線/国領駅 歩15分
","
築29年
5階建
","
											1階",15.5万円,10000円,15.5万円,15.5万円,4LDK,84.17m2
ロイヤルパレス,東京都調布市菊野台１,"
京王線/つつじヶ丘駅 歩8分
京王線/柴崎駅 歩4分
京王線/国領駅 歩15分
","
築29年
5階建
","
											1階",17.5万円,10000円,17.5万円,17.5万円,4LDK,105m2
エクセリア上石原,東京都調布市上石原１,"
京王線/飛田給駅 歩6分
京王線/西調布駅 歩7分
京王線/調布駅 歩25分
","
築2年
2階建
","
											2階",13.3万円,5000円,13.3万円,13.3万円,2LDK,52.7m2
ウイング福寿館,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩4分
京王線/柴崎駅 歩10分
京王線/仙川駅 歩18分
","
築23年
3階建
","
											1階",11万円,5000円,11万円,-,2LDK,51.47m2
ウイング福寿館,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩4分
京王線/柴崎駅 歩10分
京王線/仙川駅 歩18分
","
築23年
3階建
","
											2階",12万円,5000円,12万円,-,2LDK,51.47m2
グリーン・シャトルＡ,東京都調布市深大寺北町７,"
ＪＲ中央線/吉祥寺駅 バス20分 (バス停)深大寺北町 歩6分


","
築24年
2階建
","
											2階",9.15万円,2200円,-,-,2LDK,58.53m2
ロンディネ調布,東京都調布市飛田給１,"
京王線/飛田給駅 歩4分
京王線/西調布駅 歩11分
京王線/武蔵野台駅 歩18分
","
築27年
5階建
","
											1階",13万円,6000円,13万円,-,3LDK,69.27m2
