title,address,access,age,floor,fee,management_fee,deposit,gratuity,floor_plan,area
京王線 布田駅 3階建 築6年,東京都調布市国領町１,"
京王線/布田駅 歩7分
京王線/国領駅 歩10分
京王線/調布駅 歩13分
","
築6年
3階建
","
											3階",7.7万円,3000円,7.7万円,7.7万円,ワンルーム,28.88m2
ＭＯＭＯＫＩ,東京都調布市布田４,"
京王線/調布駅 歩3分
京王相模原線/京王多摩川駅 歩18分
京王線/布田駅 歩8分
","
築20年
7階建
","
											1階",8.6万円,-,8.6万円,8.6万円,1K,26.8m2
ＭＯＭＯＫＩ,東京都調布市布田４,"
京王線/調布駅 歩3分
京王相模原線/京王多摩川駅 歩18分
京王線/布田駅 歩8分
","
築20年
7階建
","
											2階",8.6万円,-,8.6万円,8.6万円,1K,26.8m2
京王線 つつじヶ丘駅 地下2地上11階建 築37年,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩1分
京王線/仙川駅 歩12分
京王線/柴崎駅 歩12分
","
築37年
地下2地上11階建
","
											3階",11.1万円,10000円,11.1万円,11.1万円,2LDK,51.2m2
京王線 つつじヶ丘駅 地下2地上11階建 築37年,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩1分
京王線/仙川駅 歩12分
京王線/柴崎駅 歩12分
","
築37年
地下2地上11階建
","
											3階",12.1万円,5000円,12.1万円,12.1万円,2LDK,51.2m2
京王線 つつじヶ丘駅 地下2地上11階建 築37年,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩1分
京王線/仙川駅 歩12分
京王線/柴崎駅 歩12分
","
築37年
地下2地上11階建
","
											4階",12.4万円,5000円,12.4万円,-,2LDK,53.7m2
京王線 つつじヶ丘駅 地下2地上11階建 築37年,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩1分
京王線/仙川駅 歩12分
京王線/柴崎駅 歩12分
","
築37年
地下2地上11階建
","
											10階",12.4万円,5000円,12.4万円,12.4万円,2LDK,51.2m2
京王線 つつじヶ丘駅 地下2地上11階建 築37年,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩1分
京王線/仙川駅 歩12分
京王線/柴崎駅 歩12分
","
築37年
地下2地上11階建
","
											8階",12万円,10000円,12万円,12万円,2LDK,51.2m2
京王線 つつじヶ丘駅 地下2地上11階建 築37年,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩1分
京王線/仙川駅 歩12分
京王線/柴崎駅 歩12分
","
築37年
地下2地上11階建
","
											10階",12.7万円,5000円,12.7万円,12.7万円,2LDK,51.2m2
京王線 つつじヶ丘駅 地下2地上11階建 築37年,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩1分
京王線/仙川駅 歩12分
京王線/柴崎駅 歩12分
","
築37年
地下2地上11階建
","
											8階",13.1万円,10000円,13.1万円,13.1万円,2LDK,51.2m2
京王線 つつじヶ丘駅 地下2地上11階建 築37年,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩1分
京王線/仙川駅 歩12分
京王線/柴崎駅 歩12分
","
築37年
地下2地上11階建
","
											9階",17.8万円,10000円,17.8万円,17.8万円,3LDK,79.6m2
京王線 つつじヶ丘駅 地下2地上11階建 築37年,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩1分
京王線/仙川駅 歩12分
京王線/柴崎駅 歩12分
","
築37年
地下2地上11階建
","
											9階",17.8万円,10000円,17.8万円,17.8万円,3LDK,79.6m2
京王線 つつじヶ丘駅 地下2地上11階建 築37年,東京都調布市西つつじケ丘３,"
京王線/つつじヶ丘駅 歩1分
京王線/仙川駅 歩12分
京王線/柴崎駅 歩12分
","
築37年
地下2地上11階建
","
											10階",18.9万円,5000円,18.9万円,18.9万円,3LDK,79.6m2
京王相模原線 京王多摩川駅 4階建 築34年,東京都調布市多摩川５,"
京王相模原線/京王多摩川駅 歩3分
京王線/調布駅 歩17分
京王線/布田駅 歩26分
","
築34年
4階建
","
											3階",5.8万円,2000円,-,-,1DK,23m2
ルイーネ調布,東京都調布市小島町３,"
京王線/調布駅 歩9分
京王相模原線/京王多摩川駅 歩9分
京王線/布田駅 歩17分
","
築27年
3階建
","
											1階",5.88万円,10000円,5.88万円,5.88万円,1K,19.64m2
ルイーネ調布,東京都調布市小島町３,"
京王線/調布駅 歩9分
京王相模原線/京王多摩川駅 歩9分
京王線/布田駅 歩17分
","
築27年
3階建
","
											2階",6.28万円,10000円,6.28万円,6.28万円,1K,19.64m2
ルイーネ調布,東京都調布市小島町３,"
京王線/調布駅 歩9分
京王相模原線/京王多摩川駅 歩9分
京王線/布田駅 歩17分
","
築27年
3階建
","
											3階",6.68万円,10000円,6.68万円,6.68万円,1K,19.64m2
モヤ　パラチャ,東京都調布市深大寺南町５,"
京王線/つつじヶ丘駅 歩23分
京王線/国領駅 歩27分
ＪＲ中央線/三鷹駅 バス30分 (バス停)晃華学園前 歩3分
","
築10年
2階建
","
											1階",7.9万円,2800円,-,7.9万円,1LDK,37.93m2
モヤ　パラチャ,東京都調布市深大寺南町５,"
京王線/つつじヶ丘駅 歩23分
京王線/国領駅 歩27分
ＪＲ中央線/三鷹駅 バス30分 (バス停)晃華学園前 歩3分
","
築10年
2階建
","
											1階",7.9万円,2800円,-,7.9万円,1LDK,37.93m2
